year,categoria,pais,euros
2005,1,Alemania,250
2005,2,Alemania,0
2005,3,Alemania,40000
2005,4,Alemania,146501
2005,5,Alemania,0
2005,6,Alemania,33554759
2005,7,Alemania,0
2005,8,Alemania,95249
2005,9,Alemania,0
2005,10,Alemania,4516372
2005,11,Alemania,6919000
2005,12,Alemania,0
2005,13,Alemania,0
2005,14,Alemania,0
2005,15,Alemania,20401797
2005,16,Alemania,0
2005,17,Alemania,0
2005,18,Alemania,0
2005,19,Alemania,0
2005,20,Alemania,0
2005,21,Alemania,0
2005,22,Alemania,0
2005,total,Alemania,65673928
2005,1,Andorra,7323
2005,2,Andorra,0
2005,3,Andorra,21353
2005,4,Andorra,0
2005,5,Andorra,0
2005,6,Andorra,0
2005,7,Andorra,0
2005,8,Andorra,0
2005,9,Andorra,0
2005,10,Andorra,0
2005,11,Andorra,0
2005,12,Andorra,0
2005,13,Andorra,0
2005,14,Andorra,0
2005,15,Andorra,0
2005,16,Andorra,0
2005,17,Andorra,0
2005,18,Andorra,0
2005,19,Andorra,0
2005,20,Andorra,0
2005,21,Andorra,0
2005,22,Andorra,0
2005,total,Andorra,28676
2005,1,Arabia Saudí,110813
2005,2,Arabia Saudí,18800
2005,3,Arabia Saudí,10825
2005,4,Arabia Saudí,0
2005,5,Arabia Saudí,0
2005,6,Arabia Saudí,1842775
2005,7,Arabia Saudí,0
2005,8,Arabia Saudí,0
2005,9,Arabia Saudí,0
2005,10,Arabia Saudí,0
2005,11,Arabia Saudí,0
2005,12,Arabia Saudí,0
2005,13,Arabia Saudí,1770
2005,14,Arabia Saudí,0
2005,15,Arabia Saudí,0
2005,16,Arabia Saudí,0
2005,17,Arabia Saudí,0
2005,18,Arabia Saudí,0
2005,19,Arabia Saudí,0
2005,20,Arabia Saudí,0
2005,21,Arabia Saudí,0
2005,22,Arabia Saudí,0
2005,total,Arabia Saudí,1984983
2005,1,Argelia,0
2005,2,Argelia,0
2005,3,Argelia,0
2005,4,Argelia,0
2005,5,Argelia,0
2005,6,Argelia,0
2005,7,Argelia,0
2005,8,Argelia,0
2005,9,Argelia,0
2005,10,Argelia,110578796
2005,11,Argelia,0
2005,12,Argelia,0
2005,13,Argelia,0
2005,14,Argelia,0
2005,15,Argelia,0
2005,16,Argelia,0
2005,17,Argelia,0
2005,18,Argelia,0
2005,19,Argelia,0
2005,20,Argelia,0
2005,21,Argelia,0
2005,22,Argelia,0
2005,total,Argelia,110578796
2005,1,Argentina,1800
2005,2,Argentina,0
2005,3,Argentina,0
2005,4,Argentina,0
2005,5,Argentina,0
